Data Series,Acute Hospitals Admissions,  Public,  Non-Public,Psychiatric Hospitals Admissions,  Public,  Non-Public,Community Hospitals Admissions,  Public,  Non-Public,Specialist Outpatient Clinics,Accident & Emergency Departments,Polyclinics,Dental Clinics,Day Surgeries
1993 Mar ,na,na,na,na,na,na,na,na,na,165226,42512,222707,95063,na
1993 Feb ,na,na,na,na,na,na,na,na,na,147504,40611,279974,109412,na
1993 Jan ,na,na,na,na,na,na,na,na,na,137615,51042,234682,93844,na
1992 Dec ,na,na,na,na,na,na,na,na,na,150201,49344,254389,50056,na
1992 Nov ,na,na,na,na,na,na,na,na,na,147618,41923,254616,85984,na
1992 Oct ,na,na,na,na,na,na,na,na,na,148542,43389,239132,96513,na
1992 Sep ,na,na,na,na,na,na,na,na,na,151479,42659,259872,94263,na
1992 Aug ,na,na,na,na,na,na,na,na,na,149011,50365,252654,97450,na
1992 Jul ,na,na,na,na,na,na,na,na,na,160374,46643,246377,107209,na
1992 Jun ,na,na,na,na,na,na,na,na,na,145748,45302,252366,61114,na
1992 May ,na,na,na,na,na,na,na,na,na,137870,46996,229647,84364,na
1992 Apr ,na,na,na,na,na,na,na,na,na,143679,42644,210475,95289,na
1992 Mar ,na,na,na,na,na,na,na,na,na,152685,43761,255738,97027,na
1992 Feb ,na,na,na,na,na,na,na,na,na,121927,44641,214154,97062,na
1992 Jan ,na,na,na,na,na,na,na,na,na,153793,47672,249204,116049,na
1991 Dec ,na,na,na,na,na,na,na,na,na,133319,44688,231021,47383,na
1991 Nov ,na,na,na,na,na,na,na,na,na,136379,40979,229610,80137,na
1991 Oct ,na,na,na,na,na,na,na,na,na,143575,40983,246811,98085,na
1991 Sep ,na,na,na,na,na,na,na,na,na,128850,45171,229265,91266,na
1991 Aug ,na,na,na,na,na,na,na,na,na,133742,47971,225536,97268,na
1991 Jul ,na,na,na,na,na,na,na,na,na,144933,47082,241241,106468,na
1991 Jun ,na,na,na,na,na,na,na,na,na,122144,46693,214685,56114,na
1991 May ,na,na,na,na,na,na,na,na,na,134113,48778,232891,95736,na
1991 Apr ,na,na,na,na,na,na,na,na,na,133120,43660,221483,105529,na
1991 Mar ,na,na,na,na,na,na,na,na,na,123240,46209,221703,95229,na
1991 Feb ,na,na,na,na,na,na,na,na,na,110647,44007,195841,95797,na
1991 Jan ,na,na,na,na,na,na,na,na,na,134334,45281,220876,123131,na
1990 Dec ,na,na,na,na,na,na,na,na,na,117093,46459,226234,51610,na
1990 Nov ,na,na,na,na,na,na,na,na,na,133843,44541,245535,86204,na
1990 Oct ,na,na,na,na,na,na,na,na,na,131874,45610,260381,103163,na
1990 Sep ,na,na,na,na,na,na,na,na,na,115209,42724,223640,89544,na
1990 Aug ,na,na,na,na,na,na,na,na,na,131691,45546,237486,101451,na
1990 Jul ,na,na,na,na,na,na,na,na,na,124255,47628,238081,101573,na
1990 Jun ,na,na,na,na,na,na,na,na,na,120387,44424,239338,69614,na
1990 May ,na,na,na,na,na,na,na,na,na,120961,44478,236560,88896,na
1990 Apr ,na,na,na,na,na,na,na,na,na,109823,41081,216709,93536,na
1990 Mar ,na,na,na,na,na,na,na,na,na,124230,43063,245879,103310,na
1990 Feb ,na,na,na,na,na,na,na,na,na,113554,40161,215635,112141,na
1990 Jan ,na,na,na,na,na,na,na,na,na,113065,47856,221470,108001,na
1989 Dec ,na,na,na,na,na,na,na,na,na,110629,43059,231630,54408,na
1989 Nov ,na,na,na,na,na,na,na,na,na,118645,40467,230520,85346,na
1989 Oct ,na,na,na,na,na,na,na,na,na,120669,43240,232826,96439,na
1989 Sep ,na,na,na,na,na,na,na,na,na,115032,42086,237370,99769,na
1989 Aug ,na,na,na,na,na,na,na,na,na,120266,42422,241354,106255,na
1989 Jul ,na,na,na,na,na,na,na,na,na,112002,44955,244639,99956,na
1989 Jun ,na,na,na,na,na,na,na,na,na,113888,44277,265613,72672,na
1989 May ,na,na,na,na,na,na,na,na,na,107991,46003,245225,86626,na
1989 Apr ,na,na,na,na,na,na,na,na,na,102533,40887,237782,106567,na
1989 Mar ,na,na,na,na,na,na,na,na,na,117848,42969,255394,107737,na
1989 Feb ,na,na,na,na,na,na,na,na,na,94190,41588,219215,104791,na
1989 Jan ,na,na,na,na,na,na,na,na,na,112402,42481,243908,121535,na
1988 Dec ,na,na,na,na,na,na,na,na,na,108181,41895,270762,59954,na
1988 Nov ,na,na,na,na,na,na,na,na,na,111361,38142,250500,83337,na
1988 Oct ,na,na,na,na,na,na,na,na,na,116897,41664,244846,95535,na
1988 Sep ,na,na,na,na,na,na,na,na,na,121138,40714,253049,97611,na
1988 Aug ,na,na,na,na,na,na,na,na,na,124388,40830,256665,103603,na
1988 Jul ,na,na,na,na,na,na,na,na,na,115938,40639,241924,103587,na
1988 Jun ,na,na,na,na,na,na,na,na,na,121781,37870,248341,75602,na
1988 May ,na,na,na,na,na,na,na,na,na,109297,42209,223333,86888,na
1988 Apr ,na,na,na,na,na,na,na,na,na,115979,41136,248306,106251,na
1988 Mar ,na,na,na,na,na,na,na,na,na,123148,41375,266283,109719,na
1988 Feb ,na,na,na,na,na,na,na,na,na,103465,40199,221929,98923,na
1988 Jan ,na,na,na,na,na,na,na,na,na,114777,39089,238097,111503,na
1987 Dec ,na,na,na,na,na,na,na,na,na,115127,38663,261222,56135,na
1987 Nov ,na,na,na,na,na,na,na,na,na,112335,38085,251897,89390,na
1987 Oct ,na,na,na,na,na,na,na,na,na,115514,37763,256216,97392,na
1987 Sep ,na,na,na,na,na,na,na,na,na,115306,35360,245706,102599,na
1987 Aug ,na,na,na,na,na,na,na,na,na,105987,39126,243154,95827,na
1987 Jul ,na,na,na,na,na,na,na,na,na,124077,35554,251215,111849,na
1987 Jun ,na,na,na,na,na,na,na,na,na,117786,33988,239664,72667,na
1987 May ,na,na,na,na,na,na,na,na,na,101491,35922,219142,84535,na
1987 Apr ,na,na,na,na,na,na,na,na,na,114022,34127,245888,110739,na
1987 Mar ,na,na,na,na,na,na,na,na,na,114172,36113,262136,107999,na
1987 Feb ,na,na,na,na,na,na,na,na,na,105174,34188,254215,122616,na
1987 Jan ,na,na,na,na,na,na,na,na,na,98721,37771,240542,103784,na
