month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature,date,year
4,38.7,17,153.1,83.8,6.2,27.3,25.178472222222222,1984-04-01,1984
5,46.0,12,186.5,84.1,6.4,27.3,25.156451612903226,1984-05-01,1984
6,121.1,14,255.0,83.1,5.4,27.5,25.2575,1984-06-01,1984
7,49.2,12,127.2,83.7,5.7,27.2,24.984274193548387,1984-07-01,1984
8,22.5,13,102.7,84.1,6.0,27.4,25.241935483870968,1984-08-01,1984
9,46.5,17,186.7,83.9,4.9,26.8,24.657916666666665,1984-09-01,1984
10,47.2,11,187.5,82.5,5.3,27.4,25.00712365591398,1984-10-01,1984
11,35.4,17,127.7,86.3,4.3,26.5,24.65013888888889,1984-11-01,1984
12,58.4,22,277.4,86.7,3.3,26.0,24.24583333333333,1984-12-01,1984
1,35.5,7,111.1,81.5,8.7,26.6,24.091129032258067,1985-01-01,1985
2,18.7,11,79.3,84.0,6.5,27.0,24.892857142857142,1985-02-01,1985
3,23.8,13,88.0,83.9,5.6,27.1,24.92822580645161,1985-03-01,1985
4,29.3,14,110.5,83.8,5.5,27.5,25.28291666666667,1985-04-01,1985
5,36.2,12,70.1,83.4,5.7,28.0,25.736962365591395,1985-05-01,1985
6,9.9,14,37.0,79.4,5.8,28.2,25.323333333333334,1985-06-01,1985
7,32.2,17,131.8,83.1,5.3,27.0,24.738575268817204,1985-07-01,1985
8,21.4,11,56.9,80.4,6.2,27.7,25.07983870967742,1985-08-01,1985
9,22.0,18,110.7,83.1,5.0,26.9,24.693055555555553,1985-09-01,1985
10,30.2,21,169.0,84.7,4.1,26.7,24.674731182795696,1985-10-01,1985
11,38.2,21,179.4,85.0,4.1,26.6,24.571805555555557,1985-11-01,1985
12,86.8,22,340.1,86.2,4.6,26.1,24.273118279569893,1985-12-01,1985
1,95.6,13,308.2,83.9,3.9,25.7,23.615591397849464,1986-01-01,1986
2,23.0,2,26.7,78.4,7.2,26.9,23.99955357142857,1986-02-01,1986
3,71.1,17,353.4,86.6,4.6,26.4,24.674731182795696,1986-03-01,1986
4,56.4,14,150.0,85.3,6.2,27.4,25.420099999999998,1986-04-01,1986
5,51.3,13,145.1,81.8,6.1,28.2,25.686155913978496,1986-05-01,1986
6,34.5,13,122.9,82.5,6.8,27.9,25.54222222222222,1986-06-01,1986
7,23.5,12,109.7,79.9,6.2,27.9,25.11209677419355,1986-07-01,1986
8,28.4,11,72.9,77.3,5.6,28.3,25.126478494623658,1986-08-01,1986
9,97.6,22,396.0,84.4,4.8,26.7,24.64486111111111,1986-09-01,1986
10,65.6,20,227.3,85.0,5.0,26.9,24.905376344086022,1986-10-01,1986
11,40.5,21,256.7,84.1,4.5,26.6,24.504583333333336,1986-11-01,1986
12,131.7,16,367.2,85.2,5.4,26.3,24.403494623655913,1986-12-01,1986
1,127.4,16,568.6,86.0,4.0,25.5,23.70255376344086,1987-01-01,1987
2,34.8,7,86.9,79.0,9.2,26.6,23.781994047619047,1987-02-01,1987
3,40.9,12,132.5,83.2,6.9,27.5,25.19475806451613,1987-03-01,1987
4,27.7,10,72.5,82.8,6.2,27.9,25.573194444444443,1987-04-01,1987
5,81.4,16,270.0,84.6,5.6,27.6,25.55766129032258,1987-05-01,1987
